student_id,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score
436,6.8,1.2,4.7,77.2,8.3,Rarely,10,86.8
437,9.6,0.6,1.7,62.2,6.2,Daily,8,78.4
438,8.9,2.5,1.2,60.9,4.7,Rarely,7,79.0
439,6.3,1.0,3.3,74.3,8.3,Rarely,10,88.3
440,8.5,1.3,1.0,73.3,8.1,Daily,1,64.6
441,6.8,1.9,1.6,75.5,8.9,Rarely,2,64.5
442,1.7,1.6,1.1,65.5,8.5,Rarely,4,52.4
443,7.7,0.5,0.3,89.5,8.3,Rarely,1,83.8
444,1.9,0.5,4.1,94.3,4.3,Often,3,80.6
445,6.3,1.2,1.3,97.5,4.5,Never,8,82.2
446,7.3,0.3,2.4,79.7,6.8,Never,8,63.2
447,1.6,3.8,0.2,88.0,6.7,Rarely,8,59.0
448,3.1,1.7,3.5,94.2,6.3,Rarely,6,61.8
449,9.2,1.7,1.7,76.7,6.0,Daily,6,65.8
450,6.5,2.0,3.7,72.4,6.2,Daily,5,90.5
451,3.2,4.0,2.1,97.5,6.8,Often,9,85.0
452,7.2,5.2,1.0,80.6,4.0,Often,4,70.4
453,6.4,4.6,2.6,79.9,5.3,Often,10,78.0
454,5.5,4.4,0.7,67.1,6.6,Never,7,68.2
455,9.8,2.9,2.2,64.3,7.6,Often,1,78.6
456,7.2,4.2,1.6,93.7,4.9,Rarely,9,63.6
457,4.4,3.3,4.6,84.6,6.7,Rarely,7,82.5
458,8.2,1.3,0.3,73.0,7.6,Often,10,66.5
459,9.0,1.3,3.5,67.7,6.2,Rarely,9,83.1
460,2.1,1.8,0.9,82.2,4.1,Often,7,70.7
461,2.8,5.5,1.6,83.4,6.2,Rarely,2,67.1
462,2.9,3.3,2.1,68.3,5.5,Often,6,91.1
463,7.2,4.4,4.5,94.1,8.6,Never,10,76.8
464,6.4,2.1,1.2,63.4,4.6,Often,4,71.8
465,6.6,2.4,0.5,74.2,7.3,Often,3,82.6
466,9.5,0.8,1.6,87.2,4.3,Rarely,2,61.6
467,8.0,1.0,0.5,71.0,6.2,Rarely,6,86.1
468,2.2,5.0,0.6,93.1,6.8,Never,8,73.6
469,4.1,3.5,2.9,89.6,5.5,Never,6,81.0
470,4.9,2.0,0.3,91.6,6.3,Often,9,59.5
471,4.6,4.8,0.2,64.8,4.8,Daily,5,71.2
472,7.0,1.5,3.6,65.6,5.5,Rarely,2,75.0
473,9.0,5.9,1.8,71.5,7.1,Often,8,85.3
474,3.8,2.1,0.6,80.7,5.5,Often,9,81.8
475,6.0,2.0,1.3,89.9,8.5,Rarely,10,71.1
476,8.1,1.9,3.2,93.5,7.1,Often,4,78.2
477,4.7,0.7,1.4,88.2,6.2,Often,6,87.6
478,2.5,0.7,2.5,97.1,4.2,Rarely,10,73.0
479,5.3,3.9,0.6,89.5,6.5,Rarely,8,71.9
480,1.5,5.3,2.9,72.3,7.8,Never,9,56.1
481,9.5,4.7,1.6,70.6,5.3,Daily,5,72.2
482,1.7,0.8,3.1,87.8,8.0,Daily,6,57.6
483,4.9,3.3,4.0,67.7,5.3,Often,4,73.9
484,5.8,0.6,3.1,63.7,8.1,Never,5,84.9
485,9.9,0.3,1.5,81.3,4.4,Rarely,7,53.8
486,2.5,3.9,1.3,92.9,8.3,Never,9,87.3
487,2.0,3.2,1.6,64.1,6.5,Never,10,71.7
488,1.1,0.5,0.8,91.7,5.5,Often,6,74.7
489,2.4,0.2,0.9,92.5,5.3,Daily,6,70.0
490,2.9,5.9,4.0,79.3,6.2,Daily,8,57.9
491,6.7,0.2,1.9,62.3,9.0,Often,4,67.2
492,3.0,2.7,2.2,67.0,5.1,Never,3,96.0
493,1.2,3.0,3.0,88.3,4.5,Rarely,7,64.0
494,8.4,0.7,2.9,88.5,6.9,Rarely,5,59.1
495,4.3,1.0,0.3,95.9,6.4,Often,2,76.4
496,4.2,2.1,4.2,83.3,6.6,Often,2,74.1
497,3.7,4.6,0.9,65.0,7.3,Rarely,6,71.8
498,9.8,3.0,3.6,64.9,5.3,Rarely,8,75.1
499,2.5,3.8,3.9,88.8,8.6,Never,1,81.4
500,9.1,5.9,3.6,67.4,6.2,Rarely,6,69.1
